url;lot;sold;auction_date;title;distillery;region;distillery_status;cask_type;currency;regauge_strength;regauge_bulk_litres;regauge_rla;original_strength;original_bulk_litres;original_rla;filling_date;cask_filling;previous_spirit;regauged_date;age;bottles_at_cask_strength;hammer_price;country;liquid_image_link;cask_image_link
https://www.just-whisky.co.uk/product/macallan_1990_refill_hogshead_cask_no11164_held_in_bond_whiskybroker_1396615;670669;FALSE;30/07/2019;Macallan 1990 Refill Hogshead Cask No.11164;Macallan;Speyside;Operational;Hogshead;Great Britain Pound (£);42.90%;181.5976;77.9299;;;;1990;Second Fill;;23/05/2019;;259;71000;Scotland;;https://www.just-whisky.co.uk/media/image/lot/macallan_1990_refill_hogshead_cask_no11164_held_in_bond_whiskybroker_847282.webp
https://www.just-whisky.co.uk/product/springbank_1994_hogshead_cask_no27_held_in_bond_at_springbank_distillery_1478328;1301072;FALSE;30/09/2024;Springbank 1994 Hogshead Cask No.27 Held In Bond At Springbank Distillery;Springbank ;Campbeltown;Operational;Hogshead;Great Britain Pound (£);43.80%;140.3;61.6;;;;1994;Second Fill;Sherry;13/08/2024;;;70000;Scotland;https://www.just-whisky.co.uk/media/image/lot/springbank_1994_hogshead_cask_no27_held_in_bond_at_springbank_distillery_838214.webp;
https://www.just-whisky.co.uk/product/springbank_2000_hogshead_cask_no112_held_in_bond_at_springbank_distillery_1490204;1391119;FALSE;16/06/2025;Springbank 2000 Hogshead Cask No.112 Held In Bond At Springbank Distillery;Springbank ;Campbeltown;Operational;Hogshead;Great Britain Pound (£);43.30%;131.8;57.9;63.70%;204;129.9;2000;First Fill;Bourbon;10/02/2025;;;35000;Scotland;https://www.just-whisky.co.uk/media/image/lot/springbank_2000_hogshead_cask_no112_held_in_bond_at_springbank_distillery_275_ZrK21SK.webp;
https://www.just-whisky.co.uk/product/ben_nevis_1996_hogshead_cask_no1687_held_in_bond_at_ben_nevis_distillery_1467628;1211295;TRUE;31/12/2023;Ben Nevis 1996 Hogshead Cask No.1687 Held In Bond At Ben Nevis Distillery;Ben Nevis;Highlands;Operational;Hogshead;Great Britain Pound (£);55%;143.39;79.02;63.50%;260;165.9;01/11/1996;;;04/07/2023;;;25100;Scotland;https://www.just-whisky.co.uk/media/image/lot/ben_nevis_1996_hogshead_cask_no1687_held_in_bond_at_ben_nevis_distillery118996.webp;
https://www.just-whisky.co.uk/product/ben_nevis_1996_hogshead_cask_no1686_held_in_bond_at_ben_nevis_distillery_1470188;1240220;FALSE;31/03/2024;Ben Nevis 1996 Hogshead Cask No.1686 Held In Bond At Ben Nevis Distillery;Ben Nevis;Highlands;Operational;Hogshead;Great Britain Pound (£);55.10%;129.76;71.64;63.50%;264;168.4;01/11/1996;;;04/07/2023;;;24000;Scotland;https://www.just-whisky.co.uk/media/image/lot/ben_nevis_1996_hogshead_cask_no1686_held_in_bond_at_ben_nevis_distillerycf3a9e.webp;
https://www.just-whisky.co.uk/product/ben_nevis_1996_hogshead_cask_no408_held_in_bond_at_ben_nevis_distillery_1487110;1370604;FALSE;21/04/2025;Ben Nevis 1996 Hogshead Cask No.408 Held In Bond At Ben Nevis Distillery;Ben Nevis;Highlands;Operational;Hogshead;Great Britain Pound (£);49.60%;159.73;80.1;63.60%;266;170.6;29/03/1996;;;27/01/2025;;;22250;Scotland;https://www.just-whisky.co.uk/media/image/lot/ben_nevis_1996_hogshead_cask_no408_held_in_bond_at_ben_nevis_distillery_27500_cMaaxmX.webp;
https://www.just-whisky.co.uk/product/ben_nevis_1996_hogshead_cask_no1751_held_in_bond_at_ben_nevis_distillery_1414548;820946;TRUE;30/09/2020;Ben Nevis 1996 Hogshead Cask No.1751 Held In Bond At Ben Nevis Distillery;Ben Nevis;Highlands;Operational;Hogshead;Great Britain Pound (£);56.10%;159.29;89.27;;;;1996;;;24/08/2020;;227;20905;Scotland;https://www.just-whisky.co.uk/media/image/lot/ben_nevis_1996_hogshead_cask_no1751_held_in_bond_at_ben_nevis_distillery71536d.webp;
https://www.just-whisky.co.uk/product/ben_nevis_1997_refill_sherry_hogshead_cask_no32_held_in_bond_at_ben_nevis_distillery_1414549;820947;TRUE;30/09/2020;Ben Nevis 1997 Refill Sherry Hogshead Cask No.32 Held In Bond At Ben Nevis Distillery;Ben Nevis;Highlands;Operational;Hogshead;Great Britain Pound (£);56.40%;188.9;106.43;;;;1997;Second Fill;Sherry;24/08/2020;;269;17600;Scotland;https://www.just-whisky.co.uk/media/image/lot/ben_nevis_1997_refill_sherry_hogshead_cask_no32_held_in_bond_at_ben_nevis_dis_iTyphYc.webp;
https://www.just-whisky.co.uk/product/bruichladdich_2012_fresh_bourbon_cask_no2353_held_in_bond_at_bruichladdich_distillery_1436777;990491;TRUE;28/02/2022;Bruichladdich 2012 Fresh Bourbon Cask No.2353 Held In Bond At Bruichladdich Distillery;Bruichladdich ;Islay;Operational;Barrel;Great Britain Pound (£);63.80%;147;;;;;2012;First Fill;Bourbon;;;;14000;Scotland;https://www.just-whisky.co.uk/media/image/lot/bruichladdich_2012_fresh_bourbon_cask_no2353_held_in_bond_at_bruichladdich_di_9Voknxb.webp;https://www.just-whisky.co.uk/media/image/lot/bruichladdich_2012_fresh_bourbon_cask_no2353_held_in_bond_at_bruichladdich_di_l0SoEmP.webp
https://www.just-whisky.co.uk/product/dalmore_cask_no_800158_refill_hogshead_held_in_bond_1381663;561651;TRUE;31/07/2018;Dalmore Cask No. 800158 Refill Hogshead - Held in Bond at Auchroisk Distillery;Dalmore;Highlands;Operational;Hogshead;Great Britain Pound (£);58.90%;198.13;116.7;;225;;11/02/2008;Second Fill;;19/04/2018;;283;12000;Scotland;;
https://www.just-whisky.co.uk/product/auchroisk_2008_hogshead_cask_no_815520_held_in_bond_at_coleburn_distillery_1427248;911422;FALSE;30/06/2021;Auchroisk 2008 Hogshead Cask No. 815520 Held in Bond at Coleburn Distillery;Auchroisk;Speyside;Operational;Hogshead;Great Britain Pound (£);58.90%;215.75;127.07;;;;17/10/2008;;;18/05/2021;;308;5750;Scotland;;
https://www.just-whisky.co.uk/product/arran_2013_hogshead_cask_no415_held_in_bond_at_arran_distillery_1489037;1381069;FALSE;19/05/2025;Arran 2013 Hogshead Cask No.415 Held In Bond At Arran Distillery;Arran;Highlands;Operational;Hogshead;Great Britain Pound (£);58.60%;226;134;63.50%;255.75;162.1;05/03/2013;First Fill;Sherry;04/03/2025;;;5300;Scotland;https://www.just-whisky.co.uk/media/image/lot/arran_2013_hogshead_cask_no415_held_in_bond_at_arran_distillery_2755736_525540.webp;
https://www.just-whisky.co.uk/product/ardnamurchan_2017_american_oak_barrel_cask_no_112_held_in_bond_at_ardnamurchan_1475438;1280357;FALSE;31/07/2024;Ardnamurchan 2017 American Oak Barrel Cask No. 112 (Held in Bond at Ardnamurchan);Ardnamurchan;Highlands;Operational;Barrel;Great Britain Pound (£);61.60%;165.2;101.76;;;;06/03/2017;;;19/04/2024;;236;3600;Scotland;https://www.just-whisky.co.uk/media/image/lot/ardnamurchan_2017_american_oak_barrel_cask_no_112_held_in_bond_at_ardnamurchan96abab.webp;https://www.just-whisky.co.uk/media/image/lot/ardnamurchan_2017_american_oak_barrel_cask_no_112_held_in_bond_at_ardnamurchanb10cf1.webp
https://www.just-whisky.co.uk/product/ardnamurchan_2017_american_oak_barrel_cask_no_112_held_in_bond_at_ardnamurchan_1474865;1271045;FALSE;30/06/2024;Ardnamurchan 2017 American Oak Barrel Cask No. 112 (Held in Bond at Ardnamurchan);Ardnamurchan;Highlands;Operational;Barrel;Great Britain Pound (£);61.60%;165.2;101.76;;;;06/03/2017;;;19/04/2024;;236;3600;Scotland;https://www.just-whisky.co.uk/media/image/lot/ardnamurchan_2017_american_oak_barrel_cask_no_112_held_in_bond_at_ardnamurchan38451b.webp;
